Exchange,Token,LotSize,Symbol,TradingSymbol,Expiry,Instrument,OptionType,StrikePrice,TickSize,
BFO,1145300,2425,ZOMAOPT,ETERNAL26JAN365PE,29-JAN-2026,OPTSTK,PE,365,0.05,
BFO,1144857,2425,ZOMAOPT,ETERNAL26JAN360PE,29-JAN-2026,OPTSTK,PE,360,0.05,
BFO,1148426,2425,ZOMAOPT,ETERNAL26JAN355PE,29-JAN-2026,OPTSTK,PE,355,0.05,
BFO,1148018,2425,ZOMAOPT,ETERNAL26JAN350PE,29-JAN-2026,OPTSTK,PE,350,0.05,
BFO,1151851,2425,ZOMAOPT,ETERNAL26JAN345PE,29-JAN-2026,OPTSTK,PE,345,0.05,
BFO,1151574,2425,ZOMAOPT,ETERNAL26JAN340PE,29-JAN-2026,OPTSTK,PE,340,0.05,
BFO,1140800,2425,ZOMAOPT,ETERNAL26JAN335PE,29-JAN-2026,OPTSTK,PE,335,0.05,
BFO,1140026,2425,ZOMAOPT,ETERNAL26JAN330PE,29-JAN-2026,OPTSTK,PE,330,0.05,
BFO,1150682,2425,ZOMAOPT,ETERNAL26JAN325PE,29-JAN-2026,OPTSTK,PE,325,0.05,
BFO,1150267,2425,ZOMAOPT,ETERNAL26JAN320PE,29-JAN-2026,OPTSTK,PE,320,0.05,
BFO,1138975,2425,ZOMAOPT,ETERNAL26JAN315PE,29-JAN-2026,OPTSTK,PE,315,0.05,
BFO,1138651,2425,ZOMAOPT,ETERNAL26JAN310PE,29-JAN-2026,OPTSTK,PE,310,0.05,
BFO,1143210,2425,ZOMAOPT,ETERNAL26JAN305PE,29-JAN-2026,OPTSTK,PE,305,0.05,
BFO,1142935,2425,ZOMAOPT,ETERNAL26JAN300PE,29-JAN-2026,OPTSTK,PE,300,0.05,
BFO,1145132,2425,ZOMAOPT,ETERNAL26JAN295PE,29-JAN-2026,OPTSTK,PE,295,0.05,
BFO,1153653,2425,ZOMAOPT,ETERNAL26JAN290PE,29-JAN-2026,OPTSTK,PE,290,0.05,
BFO,1153142,2425,ZOMAOPT,ETERNAL26JAN285PE,29-JAN-2026,OPTSTK,PE,285,0.05,
BFO,1155080,2425,ZOMAOPT,ETERNAL26JAN280PE,29-JAN-2026,OPTSTK,PE,280,0.05,
BFO,1156243,2425,ZOMAOPT,ETERNAL26JAN275PE,29-JAN-2026,OPTSTK,PE,275,0.05,
BFO,1156223,2425,ZOMAOPT,ETERNAL26JAN270PE,29-JAN-2026,OPTSTK,PE,270,0.05,
BFO,1156823,2425,ZOMAOPT,ETERNAL26JAN265PE,29-JAN-2026,OPTSTK,PE,265,0.05,
BFO,1171537,2425,ZOMAOPT,ETERNAL26JAN260PE,29-JAN-2026,OPTSTK,PE,260,0.05,
BFO,1151323,2425,ZOMAOPT,ETERNAL26JAN365CE,29-JAN-2026,OPTSTK,CE,365,0.05,
BFO,1150901,2425,ZOMAOPT,ETERNAL26JAN360CE,29-JAN-2026,OPTSTK,CE,360,0.05,
BFO,1139634,2425,ZOMAOPT,ETERNAL26JAN355CE,29-JAN-2026,OPTSTK,CE,355,0.05,
BFO,1139167,2425,ZOMAOPT,ETERNAL26JAN350CE,29-JAN-2026,OPTSTK,CE,350,0.05,
BFO,1143713,2425,ZOMAOPT,ETERNAL26JAN345CE,29-JAN-2026,OPTSTK,CE,345,0.05,
BFO,1143360,2425,ZOMAOPT,ETERNAL26JAN340CE,29-JAN-2026,OPTSTK,CE,340,0.05,
BFO,1147053,2425,ZOMAOPT,ETERNAL26JAN335CE,29-JAN-2026,OPTSTK,CE,335,0.05,
BFO,1146661,2425,ZOMAOPT,ETERNAL26JAN330CE,29-JAN-2026,OPTSTK,CE,330,0.05,
BFO,1150302,2425,ZOMAOPT,ETERNAL26JAN325CE,29-JAN-2026,OPTSTK,CE,325,0.05,
BFO,1149882,2425,ZOMAOPT,ETERNAL26JAN320CE,29-JAN-2026,OPTSTK,CE,320,0.05,
BFO,1138661,2425,ZOMAOPT,ETERNAL26JAN315CE,29-JAN-2026,OPTSTK,CE,315,0.05,
BFO,1138314,2425,ZOMAOPT,ETERNAL26JAN310CE,29-JAN-2026,OPTSTK,CE,310,0.05,
BFO,1142947,2425,ZOMAOPT,ETERNAL26JAN305CE,29-JAN-2026,OPTSTK,CE,305,0.05,
BFO,1142661,2425,ZOMAOPT,ETERNAL26JAN300CE,29-JAN-2026,OPTSTK,CE,300,0.05,
BFO,1144724,2425,ZOMAOPT,ETERNAL26JAN295CE,29-JAN-2026,OPTSTK,CE,295,0.05,
BFO,1153928,2425,ZOMAOPT,ETERNAL26JAN290CE,29-JAN-2026,OPTSTK,CE,290,0.05,
BFO,1153368,2425,ZOMAOPT,ETERNAL26JAN285CE,29-JAN-2026,OPTSTK,CE,285,0.05,
BFO,1155186,2425,ZOMAOPT,ETERNAL26JAN280CE,29-JAN-2026,OPTSTK,CE,280,0.05,
BFO,1156225,2425,ZOMAOPT,ETERNAL26JAN275CE,29-JAN-2026,OPTSTK,CE,275,0.05,
BFO,1156195,2425,ZOMAOPT,ETERNAL26JAN270CE,29-JAN-2026,OPTSTK,CE,270,0.05,
BFO,1156816,2425,ZOMAOPT,ETERNAL26JAN265CE,29-JAN-2026,OPTSTK,CE,265,0.05,
BFO,1171684,2425,ZOMAOPT,ETERNAL26JAN260CE,29-JAN-2026,OPTSTK,CE,260,0.05,
BFO,1141901,2425,ZOMAFUT,ETERNAL26JANFUT,29-JAN-2026,FUTSTK,XX,0,0.05,
BFO,1115691,2425,ZOMAFUT,ETERNAL25DECFUT,24-DEC-2025,FUTSTK,XX,0,0.05,
BFO,1164443,2425,ZOMAFUT,ETERNAL26FEBFUT,26-FEB-2026,FUTSTK,XX,0,0.05,
BFO,1163963,2425,ZOMAOPT,ETERNAL26FEB340PE,26-FEB-2026,OPTSTK,PE,340,0.05,
BFO,1165933,2425,ZOMAOPT,ETERNAL26FEB335PE,26-FEB-2026,OPTSTK,PE,335,0.05,
BFO,1165761,2425,ZOMAOPT,ETERNAL26FEB330PE,26-FEB-2026,OPTSTK,PE,330,0.05,
BFO,1167646,2425,ZOMAOPT,ETERNAL26FEB325PE,26-FEB-2026,OPTSTK,PE,325,0.05,
BFO,1167484,2425,ZOMAOPT,ETERNAL26FEB320PE,26-FEB-2026,OPTSTK,PE,320,0.05,
BFO,1161871,2425,ZOMAOPT,ETERNAL26FEB315PE,26-FEB-2026,OPTSTK,PE,315,0.05,
BFO,1161694,2425,ZOMAOPT,ETERNAL26FEB310PE,26-FEB-2026,OPTSTK,PE,310,0.05,
BFO,1163674,2425,ZOMAOPT,ETERNAL26FEB305PE,26-FEB-2026,OPTSTK,PE,305,0.05,
BFO,1163473,2425,ZOMAOPT,ETERNAL26FEB300PE,26-FEB-2026,OPTSTK,PE,300,0.05,
BFO,1164724,2425,ZOMAOPT,ETERNAL26FEB295PE,26-FEB-2026,OPTSTK,PE,295,0.05,
BFO,1164541,2425,ZOMAOPT,ETERNAL26FEB290PE,26-FEB-2026,OPTSTK,PE,290,0.05,
BFO,1166478,2425,ZOMAOPT,ETERNAL26FEB285PE,26-FEB-2026,OPTSTK,PE,285,0.05,
BFO,1166300,2425,ZOMAOPT,ETERNAL26FEB280PE,26-FEB-2026,OPTSTK,PE,280,0.05,
BFO,1168179,2425,ZOMAOPT,ETERNAL26FEB275PE,26-FEB-2026,OPTSTK,PE,275,0.05,
BFO,1168011,2425,ZOMAOPT,ETERNAL26FEB270PE,26-FEB-2026,OPTSTK,PE,270,0.05,
BFO,1169707,2425,ZOMAOPT,ETERNAL26FEB265PE,26-FEB-2026,OPTSTK,PE,265,0.05,
BFO,1172233,2425,ZOMAOPT,ETERNAL26FEB260PE,26-FEB-2026,OPTSTK,PE,260,0.05,
BFO,1163780,2425,ZOMAOPT,ETERNAL26FEB340CE,26-FEB-2026,OPTSTK,CE,340,0.05,
BFO,1165769,2425,ZOMAOPT,ETERNAL26FEB335CE,26-FEB-2026,OPTSTK,CE,335,0.05,
BFO,1165565,2425,ZOMAOPT,ETERNAL26FEB330CE,26-FEB-2026,OPTSTK,CE,330,0.05,
BFO,1167496,2425,ZOMAOPT,ETERNAL26FEB325CE,26-FEB-2026,OPTSTK,CE,325,0.05,
BFO,1167318,2425,ZOMAOPT,ETERNAL26FEB320CE,26-FEB-2026,OPTSTK,CE,320,0.05,
BFO,1161705,2425,ZOMAOPT,ETERNAL26FEB315CE,26-FEB-2026,OPTSTK,CE,315,0.05,
BFO,1168973,2425,ZOMAOPT,ETERNAL26FEB310CE,26-FEB-2026,OPTSTK,CE,310,0.05,
BFO,1163485,2425,ZOMAOPT,ETERNAL26FEB305CE,26-FEB-2026,OPTSTK,CE,305,0.05,
BFO,1163273,2425,ZOMAOPT,ETERNAL26FEB300CE,26-FEB-2026,OPTSTK,CE,300,0.05,
BFO,1167852,2425,ZOMAOPT,ETERNAL26FEB295CE,26-FEB-2026,OPTSTK,CE,295,0.05,
BFO,1167669,2425,ZOMAOPT,ETERNAL26FEB290CE,26-FEB-2026,OPTSTK,CE,290,0.05,
BFO,1162081,2425,ZOMAOPT,ETERNAL26FEB285CE,26-FEB-2026,OPTSTK,CE,285,0.05,
BFO,1161895,2425,ZOMAOPT,ETERNAL26FEB280CE,26-FEB-2026,OPTSTK,CE,280,0.05,
BFO,1163896,2425,ZOMAOPT,ETERNAL26FEB275CE,26-FEB-2026,OPTSTK,CE,275,0.05,
BFO,1163691,2425,ZOMAOPT,ETERNAL26FEB270CE,26-FEB-2026,OPTSTK,CE,270,0.05,
BFO,1169950,2425,ZOMAOPT,ETERNAL26FEB265CE,26-FEB-2026,OPTSTK,CE,265,0.05,
BFO,1171939,2425,ZOMAOPT,ETERNAL26FEB260CE,26-FEB-2026,OPTSTK,CE,260,0.05,
BFO,1132294,2425,ZOMAOPT,ETERNAL25DEC390PE,24-DEC-2025,OPTSTK,PE,390,0.05,
BFO,1130807,2425,ZOMAOPT,ETERNAL25DEC385PE,24-DEC-2025,OPTSTK,PE,385,0.05,
